"","info_enc_30","info_enc_30_otro","mesp_112","mesp_113","esp_1","esp_8","esp_9","esp_69","esp_114_a","esp_114_b","esp_4","esp_49","esp_50","esp_55_a","esp_55_b","esp_115","mesp_116","mesp_117","mesp_117_1","mesp_117_2","esp_40_a","esp_40_b","esp_87","esp_88","iden_pol_2","democracia_21","democracia_19","pobreza_62","pobreza_63","medio_ambiente_37","mtf_42_d","mtf_43_b","interes_pol_1_b","esp_44","confianza_6_c","confianza_6_j","confianza_6_d","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_a","confianza_6_b","confianza_6_g","confianza_6_y","confianza_6_m","confianza_6_ab","confianza_6_ac","confianza_6_ad","confianza_6_ae","confianza_6_af","esp_89_a","esp_89_b","esp_89_c","esp_120_a","esp_120_b","esp_120_c","confianza_8_a","mesp_90_1","mesp_90_2","mesp_90_3","mesp_11_q","mesp_11_b","mesp_11_c","mesp_11_p","mesp_11_r","constitucion_5_a","constitucion_5_b","constitucion_5_c","esp_91_a","esp_91_b","esp_91_d","esp_91_e","esp_91_f","esp_122","mesp_36_a","mesp_36_b","mesp_36_e","mesp_36_f","nmesp_36_aa","nmesp_36_bb","nmesp_36_ee","nmesp_36_ff","esp_92_a","esp_92_b","esp_92_c","esp_92_d","esp_92_e","esp_92_f","esp_92_g","esp_93_a","esp_93_b","esp_93_c","esp_93_d","esp_93_e","esp_93_f","esp_93_g","esp_126_1","esp_126_2","percepcion_1_a","percepcion_1_b","percepcion_1_c","esp_127_1","esp_127_2","esp_127_3","esp_127_4","esp_94_a","esp_94_b","esp_94_c","esp_94_d","esp_94_e","esp_94_f","esp_94_g","esp_94_h","esp_94_i","esp_94_j","esp_129","esp_130","esp_95","esp_96_1","esp_96_2","esp_97","esp_131","esp_132","esp_133_a","esp_133_b","esp_134","esp_135_a","esp_135_b","esp_136","esp_137_a","esp_137_b","esp_138_a","esp_138_b","esp_139","esp_140","esp_141_a","esp_141_b","esp_142_a","esp_142_b","esp_142_c","esp_143_a","esp_143_b","esp_143_c","esp_143_d","uesp_143_e","resp_143_e","esp_143_f","esp_111_d","rol_gobierno_27","esp_17","esp_145_1","esp_145_2","esp_146_a","esp_146_b","esp_146_c","esp_146_d","esp_147_a","esp_147_b","esp_147_c","esp_147_d","esp_147_e","esp_148_a","esp_148_b","esp_148_c","esp_148_d","esp_148_e","esp_148_f","esp_148_g","esp_148_h","esp_148_i","esp_148_j","sexo","edad","estado_civil","info_enc_29","info_enc_23","esc_nivel_1","info_enc_12_b","mesp_73","mesp_149","mesp_150","mesp_151","rmesp_152","esp_153","info_enc_1_a_1","info_enc_1_a_2","info_enc_57","info_hogar_17","religion_82","religion_2","bienestar_21","interes_pol_2_c","interes_pol_2_d","interes_pol_2_e","info_hogar_1_a","info_hogar_2_b","info_hogar_2_c","info_hogar_32","info_hogar_33","info_hogar_21_n","info_enc_60","info_enc_52","info_enc_54","gse","muestra","zona_u_r","id_region","region","id_estrato","estrato","encuesta","encuesta_a","encuesta_m","secu","pond"
"1447",88,NA,NA,NA,2,3,3,2,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,5,1,1,88,3,10,1,10,1,4,4,3,1,2,4,4,2,2,4,2,2,2,2,1,2,2,2,2,2,2,2,2,88,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,88,NA,4,6,6,6,5,1,NA,NA,NA,NA,4,4,4,1,5,5,1,1,5,1,1,1,1,NA,NA,1,NA,NA,1,NA,13,26,9,1,2,NA,NA,1,1,1,1,1,1,1,1,3,1,1,4,10,1,NA,1,1,88,2,NA,2,7,NA,3,3,4,3,3,1,1,1,NA,6,1,1,1,1,2,1,1,NA,2,2,2,3,NA,NA,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,2,22,4,1,2,4,9,NA,NA,NA,NA,NA,1,66666,10,2,2,9,9,2,1,3,3,3,0,1,2,2,2,1,100,1,3,2,1,9,"ARAUCANÍA","2","Costa norte",87,2022,7,87284,0.97324942
"1448",88,NA,NA,NA,3,1,7,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,13,10,3,99,3,1,10,5,1,2,4,5,1,1,3,3,3,1,1,1,1,1,3,3,1,3,1,3,3,1,3,1,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,6,6,6,6,6,NA,NA,NA,NA,NA,1,1,1,1,3,4,1,1,3,3,1,1,1,NA,NA,1,1,NA,1,NA,6,3,16,88,NA,NA,NA,2,2,3,3,3,2,3,2,3,2,3,4,5,1,2,3,1,1,7,3,2,1,3,4,2,2,2,2,1,88,3,1,6,6,6,2,2,2,2,7,NA,2,1,2,3,NA,NA,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,22,4,1,1,5,7,NA,NA,NA,NA,NA,3,55555,10,1,NA,1,9,2,3,2,2,3,0,1,2,1,2,1,100,1,3,2,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87326,4.23794842
"1449",88,NA,NA,NA,3,1,7,1,2,NA,NA,NA,NA,NA,1,88,NA,NA,NA,NA,4,9,10,88,88,2,5,1,5,5,5,3,5,88,3,4,3,2,3,3,3,4,3,4,4,2,3,3,3,3,3,3,4,88,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,6,6,6,6,6,NA,NA,NA,NA,NA,1,1,1,1,1,5,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,2,7,10,16,1,2,NA,NA,3,1,2,2,3,2,2,1,8,1,88,5,88,1,NA,3,2,88,2,3,3,NA,NA,88,2,2,2,2,1,1,5,9,6,6,6,2,8,2,2,7,NA,2,7,2,3,NA,NA,5,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5,5,5,5,2,22,4,1,1,7,7,NA,NA,NA,NA,NA,3,NA,NA,2,2,9,9,1,3,3,3,3,0,0,1,1,2,1,100,99,4,2,1,8,"BIOBÍO","1","Norte",87,2022,7,87209,2.45971156
"1450",88,NA,NA,NA,2,1,7,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,2,1,3,6,2,10,10,10,1,5,5,4,1,1,4,3,2,4,4,3,4,2,4,3,3,88,2,3,3,3,3,2,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,6,6,6,4,1,NA,NA,NA,NA,1,1,1,1,5,5,5,3,4,5,1,1,1,1,1,1,1,NA,1,NA,7,2,17,1,2,NA,NA,1,1,1,8,8,8,1,1,8,8,88,5,10,88,NA,7,1,88,1,2,5,NA,NA,5,4,4,3,3,88,1,6,7,2,2,2,1,1,1,2,1,NA,2,7,1,3,NA,NA,1,5,3,5,1,1,1,1,1,8,5,5,5,5,5,5,5,5,5,2,22,4,1,2,6,1,NA,NA,NA,NA,NA,3,9111,9,1,NA,2,9,2,1,1,1,3,0,2,2,1,2,1,100,88,4,2,1,8,"BIOBÍO","2","Costa norte",87,2022,7,87251,1.38942966
"1451",88,NA,NA,NA,2,1,7,1,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,11,9,4,2,1,1,3,1,4,1,5,5,3,1,4,3,3,4,3,3,2,3,3,4,4,2,2,1,3,3,3,4,2,88,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,4,6,6,4,5,4,NA,NA,NA,NA,5,4,3,5,3,5,1,2,2,2,1,2,3,NA,4,1,1,NA,1,NA,10,5,16,1,2,NA,NA,2,3,4,2,3,2,2,1,3,3,1,5,6,1,2,3,3,NA,NA,NA,3,NA,NA,4,4,3,3,3,1,1,1,9,6,5,5,2,2,2,2,2,NA,2,3,2,3,NA,NA,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,3,5,5,2,23,4,1,1,7,7,NA,NA,NA,NA,NA,3,55555,10,2,9,11,99,2,1,2,2,3,2,0,2,1,1,1,100,1,3,2,1,9,"ARAUCANÍA","2","Costa norte",87,2022,7,87283,0.96413471
"1452",88,NA,NA,NA,2,3,2,1,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,4,10,10,2,5,3,5,2,10,7,4,4,5,2,4,3,4,4,4,4,4,4,4,2,4,4,4,3,4,4,2,4,4,1,2,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,5,3,3,4,3,1,NA,NA,NA,NA,3,1,4,4,5,5,2,4,4,4,1,1,1,1,1,1,1,NA,1,2,2,25,4,88,NA,NA,NA,1,1,1,1,1,1,1,3,4,1,2,2,6,1,2,2,3,NA,NA,NA,1,7,6,2,2,2,3,3,88,88,8,NA,6,6,4,1,1,1,1,NA,1,1,2,2,2,88,NA,4,4,4,4,5,5,5,3,5,4,4,5,4,4,5,5,5,5,4,1,23,2,1,2,4,1,NA,NA,NA,NA,2,1,9313,9,1,NA,1,7,2,3,3,3,2,0,2,2,1,2,1,100,88,3,2,2,9,"ARAUCANÍA","5","Precordillera central",87,2022,7,87573,0.46933716
"1453",88,NA,NA,NA,3,1,7,1,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,3,3,3,88,1,5,6,4,1,4,4,4,1,3,4,4,4,4,4,4,4,3,4,4,2,3,3,4,3,3,3,88,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,99,NA,6,6,6,6,6,NA,NA,NA,NA,NA,8,8,8,8,1,5,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,2,2,11,14,1,2,NA,NA,1,1,1,3,1,1,2,1,8,2,88,5,8,1,2,88,3,NA,NA,NA,2,2,7,5,4,4,3,3,1,88,1,5,6,6,6,1,1,2,2,NA,7,2,1,1,3,NA,NA,1,5,5,5,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,2,23,4,1,1,7,7,NA,NA,NA,NA,4,3,55555,10,2,5,1,9,2,3,2,3,3,1,0,2,1,2,1,100,1,3,2,2,8,"BIOBÍO","1","Norte",87,2022,7,87548,0.97471675
"1454",88,NA,NA,NA,3,1,1,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,3,3,88,99,3,8,10,10,1,5,5,5,1,3,4,3,4,4,4,3,3,4,4,3,3,3,4,2,2,3,3,3,1,NA,NA,8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,88,NA,5,6,6,6,3,7,NA,NA,NA,NA,1,1,1,1,5,5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,2,17,11,1,2,NA,NA,1,3,2,2,2,2,2,2,3,1,4,88,9,1,NA,77,2,88,2,1,3,NA,NA,3,2,2,1,1,88,88,1,8,6,6,6,2,2,2,2,7,NA,2,4,2,2,1,NA,3,3,3,3,2,2,2,2,2,4,5,5,5,5,5,5,5,5,5,1,23,4,1,2,5,1,NA,NA,NA,NA,NA,3,6221,6,2,4,2,9,2,3,3,3,4,0,0,2,1,1,1,100,1,4,2,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87337,2.9864487
"1455",88,NA,NA,NA,3,1,1,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,3,10,3,8,3,10,8,8,6,5,5,4,2,3,4,3,3,3,3,3,3,2,4,4,2,4,2,3,2,3,3,3,1,NA,NA,8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,6,6,6,6,6,NA,NA,NA,NA,NA,8,8,8,8,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,2,1,2,NA,NA,2,2,9,3,3,2,2,2,2,2,88,1,10,1,NA,6,88,NA,NA,NA,5,NA,NA,5,2,2,3,2,99,99,88,NA,6,6,6,2,2,1,2,7,NA,2,7,1,3,NA,NA,3,3,3,3,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,1,23,4,1,1,7,7,NA,NA,NA,NA,NA,3,55555,10,2,8,9,9,1,1,1,1,1,0,0,2,1,1,1,99,99,3,2,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87336,0.97968158
"1456",88,NA,NA,NA,3,1,3,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,6,NA,1,1,10,1,10,10,1,10,3,3,3,1,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,88,2,5,6,5,3,1,NA,NA,NA,NA,8,8,8,5,1,4,1,3,1,1,1,NA,5,NA,3,NA,NA,NA,1,2,11,16,4,88,NA,NA,NA,2,2,2,2,2,2,2,2,8,2,1,5,10,1,2,5,1,1,3,2,2,11,2,2,3,4,3,3,1,1,8,6,3,6,1,1,1,2,2,1,NA,2,3,2,2,1,2,2,5,3,5,3,3,3,3,5,2,5,5,5,5,5,5,5,3,3,1,23,1,1,2,3,1,NA,NA,NA,NA,NA,3,8182,8,1,NA,2,3,3,3,1,1,1,1,0,2,1,2,1,100,1,3,2,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87361,1.8703012
"1457",88,NA,NA,NA,3,1,1,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,11,1,10,2,10,2,10,10,10,10,4,4,3,1,2,3,3,3,3,4,2,2,2,1,4,1,3,1,3,2,2,3,2,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,6,6,6,6,5,6,NA,NA,NA,NA,3,1,3,3,1,5,3,4,4,1,4,NA,1,1,1,1,NA,1,1,2,4,13,14,1,2,NA,NA,1,1,1,3,1,1,2,1,1,2,5,3,5,99,NA,6,1,99,6,NA,4,NA,NA,88,4,4,2,2,1,99,7,6,2,6,4,2,2,1,1,2,NA,1,2,2,3,NA,NA,3,3,5,4,1,3,3,1,2,4,5,5,5,5,5,5,5,5,3,2,23,3,1,2,7,1,NA,NA,NA,NA,NA,1,5131,5,1,NA,2,6,1,2,2,3,1,1,0,2,1,2,1,100,1,4,2,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87293,2.48218911
"1458",88,NA,NA,NA,2,5,7,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,10,5,3,1,2,10,10,3,1,2,2,3,1,1,4,4,3,4,4,3,3,2,2,3,3,2,1,1,3,1,4,88,88,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,6,6,3,3,4,2,NA,NA,NA,NA,8,5,1,5,1,2,1,3,2,2,1,NA,1,NA,3,1,1,NA,1,2,8,7,10,88,NA,NA,NA,4,3,1,1,1,1,1,1,3,1,3,5,10,1,NA,1,3,NA,NA,NA,3,NA,NA,1,2,4,3,3,1,1,3,6,2,6,1,1,1,1,2,1,NA,1,2,2,3,NA,NA,3,5,5,5,1,1,1,5,5,3,1,3,5,5,5,5,1,5,1,1,23,4,1,2,6,5,NA,NA,NA,NA,NA,1,7231,7,2,7,2,9,2,1,1,1,1,1,0,2,1,2,1,100,1,3,2,1,8,"BIOBÍO","1","Norte",87,2022,7,87201,1.7705772
"1459",88,NA,NA,NA,3,1,7,1,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,5,6,3,6,1,1,10,5,5,3,3,4,2,4,4,4,2,4,4,3,2,1,4,3,4,3,1,3,3,4,3,88,88,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,6,6,6,6,6,NA,NA,NA,NA,NA,2,1,1,1,3,4,1,2,1,3,3,1,1,NA,1,NA,1,1,88,NA,1,9,NA,88,NA,NA,NA,2,8,2,3,4,3,1,4,4,3,88,1,10,99,NA,1,3,NA,NA,NA,4,NA,NA,5,4,2,3,2,1,99,1,5,6,6,6,2,2,1,2,2,NA,2,7,1,3,NA,NA,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,1,23,4,1,2,4,1,NA,NA,NA,NA,NA,3,5230,5,1,NA,9,9,1,8,8,8,2,0,0,1,1,2,1,100,88,5,2,1,9,"ARAUCANÍA","5","Precordillera central",87,2022,7,87303,0.80356613
"1460",88,NA,NA,NA,3,1,3,3,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,3,6,2,10,2,10,10,10,1,4,4,5,1,4,4,4,2,3,4,3,4,4,4,4,4,4,3,4,4,3,4,4,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,99,6,6,6,6,6,NA,NA,NA,NA,NA,5,5,5,5,3,5,1,5,5,1,1,1,1,NA,1,1,NA,NA,1,NA,1,3,8,1,2,NA,NA,2,2,2,2,2,2,2,2,3,2,5,5,4,1,NA,77,3,NA,NA,NA,4,NA,NA,4,3,3,3,3,1,88,6,7,6,6,6,2,2,2,2,NA,1,1,1,1,1,NA,NA,1,5,3,5,1,3,3,8,5,3,3,5,5,5,5,5,5,5,5,2,23,4,1,1,7,7,NA,NA,NA,NA,3,1,55555,10,2,3,1,5,4,2,2,3,5,0,0,2,1,2,1,100,1,3,2,2,14,"LOS RÍOS","6","Costa sur",87,2022,7,87617,0.45484273
"1461",88,NA,NA,NA,2,4,7,2,1,2,4,5,NA,1,NA,1,NA,NA,NA,NA,6,9,10,1,3,1,1,1,1,1,5,5,2,1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,2,3,1,2,3,8,NA,NA,NA,NA,5,5,3,5,3,5,1,1,5,1,1,1,3,NA,NA,1,NA,NA,1,2,10,5,16,88,NA,NA,NA,1,2,2,2,2,1,2,1,2,1,1,5,5,1,NA,8,3,NA,NA,NA,4,NA,NA,2,4,3,2,2,1,1,1,8,6,3,3,1,1,1,2,1,NA,1,4,2,2,1,NA,5,5,5,5,3,5,5,5,5,3,3,2,4,1,5,4,1,1,3,2,23,4,1,2,4,3,NA,NA,NA,NA,NA,3,9129,9,2,5,9,9,2,1,1,1,4,0,2,2,1,2,1,100,88,3,2,1,8,"BIOBÍO","1","Norte",87,2022,7,87222,4.36452939
"1462",88,NA,NA,NA,3,1,1,2,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,10,10,2,88,3,10,1,1,10,4,4,5,1,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,88,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,88,NA,6,6,6,6,6,NA,NA,NA,NA,NA,1,1,1,1,1,5,1,1,3,1,1,NA,1,NA,NA,1,NA,NA,1,NA,11,3,2,1,3,NA,NA,1,4,8,3,2,1,8,8,8,8,5,1,10,1,NA,77,3,NA,NA,NA,88,NA,NA,4,3,2,3,2,88,88,88,NA,6,6,6,2,2,2,2,NA,7,2,2,2,3,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,23,3,1,2,4,1,NA,NA,NA,NA,2,1,4110,4,1,NA,2,9,2,1,3,2,1,0,0,2,2,2,1,100,1,3,2,2,9,"ARAUCANÍA","5","Precordillera central",87,2022,7,87566,0.24954105
"1463",88,NA,NA,NA,3,1,1,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,13,4,2,5,2,10,10,10,1,4,4,3,88,3,3,3,3,3,3,4,3,3,3,4,3,3,2,3,2,2,2,3,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,4,6,6,6,5,4,NA,NA,NA,NA,4,3,3,3,2,2,1,2,1,1,1,1,3,NA,2,NA,NA,NA,1,NA,5,3,7,88,NA,NA,NA,1,2,3,2,2,1,2,1,2,2,2,5,5,1,NA,5,1,1,3,5,2,7,1,4,3,2,3,3,1,1,6,8,4,3,3,1,1,1,2,7,NA,2,3,2,2,1,NA,2,4,2,5,1,2,2,4,2,3,5,3,4,4,4,4,3,4,3,2,23,4,1,1,5,7,NA,NA,NA,NA,NA,3,55555,10,2,9,1,7,2,2,2,2,1,0,0,2,3,1,1,100,1,4,2,1,14,"LOS RÍOS","8","Percordillera sur",87,2022,7,87393,0.48262025
"1464",88,NA,NA,NA,2,1,1,1,1,2,4,6,NA,1,NA,1,NA,NA,NA,NA,10,2,5,1,88,2,10,10,10,10,5,5,3,1,1,4,3,4,4,4,3,3,2,3,3,2,2,2,4,2,1,3,3,88,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,88,NA,5,6,6,5,5,5,NA,NA,NA,NA,3,5,1,1,5,5,3,3,5,1,5,1,1,1,1,1,NA,1,88,NA,4,6,8,1,2,NA,NA,1,1,1,1,3,1,1,1,3,3,5,4,10,1,2,4,3,NA,NA,NA,3,NA,NA,4,4,4,3,3,1,1,4,NA,5,1,1,1,1,1,2,1,NA,2,4,2,2,88,NA,2,5,5,5,1,3,3,1,4,1,4,5,5,4,5,5,4,4,3,2,23,3,1,2,4,1,NA,NA,NA,NA,NA,3,9313,9,2,3,2,8,3,2,2,2,3,1,0,2,1,2,1,100,1,3,2,1,14,"LOS RÍOS","8","Percordillera sur",87,2022,7,87394,0.6285419
"1465",88,NA,NA,NA,88,1,7,2,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,11,10,1,99,1,10,10,10,1,3,4,5,2,3,4,3,3,4,3,3,2,2,3,4,3,4,2,3,3,2,1,88,88,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,6,6,6,6,5,2,NA,NA,NA,NA,8,8,8,8,2,5,1,1,2,2,2,1,1,NA,NA,1,1,1,1,NA,9,8,2,1,2,NA,NA,1,1,4,1,4,1,1,1,4,4,1,5,10,1,NA,3,1,88,1,5,2,7,NA,4,3,3,3,3,1,88,6,7,2,6,2,1,1,2,2,7,NA,1,2,2,2,1,NA,2,1,2,2,1,1,5,1,5,1,5,5,5,5,5,5,1,5,1,1,23,4,1,1,7,7,NA,NA,NA,NA,NA,2,5131,5,2,4,9,9,2,3,2,3,4,0,0,2,1,2,1,100,88,3,2,1,8,"BIOBÍO","1","Norte",87,2022,7,87213,4.76538911
"1466",88,NA,NA,NA,3,1,1,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,9,8,5,1,7,2,10,1,10,1,1,4,3,1,2,4,1,3,3,3,3,2,2,4,3,3,2,1,4,2,3,3,2,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,6,6,6,6,6,NA,NA,NA,NA,NA,5,5,4,5,1,5,3,1,4,1,1,NA,1,1,NA,1,NA,NA,1,NA,5,1,10,88,NA,NA,NA,1,2,1,2,3,1,2,1,1,1,4,5,10,88,NA,5,1,88,3,2,3,NA,NA,5,4,1,2,2,1,1,1,8,6,6,6,2,2,2,2,NA,1,2,1,2,3,NA,NA,3,5,3,5,1,1,1,1,3,5,5,5,5,5,5,5,5,5,4,2,23,1,1,2,7,10,NA,NA,NA,NA,2,3,4120,4,2,5,2,9,2,2,2,3,1,0,1,2,9,2,1,100,1,4,2,2,14,"LOS RÍOS","6","Costa sur",87,2022,7,87613,0.25220446
"1467",88,NA,NA,NA,3,1,1,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,10,4,5,1,7,2,6,9,10,5,4,4,3,1,2,3,2,2,3,3,3,3,2,3,4,3,3,2,2,2,2,2,2,88,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,88,NA,5,6,4,5,5,7,NA,NA,NA,NA,3,8,8,8,3,4,2,3,3,3,2,1,2,1,1,1,1,1,1,2,3,14,17,1,2,NA,NA,2,2,2,3,2,2,2,1,3,1,4,4,10,1,NA,3,3,NA,NA,NA,3,NA,NA,4,2,1,8,8,1,88,6,NA,6,6,5,2,1,2,2,2,NA,2,1,2,2,1,NA,3,3,3,4,2,3,4,2,3,5,3,5,4,5,5,4,5,5,4,1,23,4,1,1,7,1,NA,NA,NA,NA,NA,3,5221,5,2,8,1,9,3,2,2,2,5,1,1,2,1,2,1,100,1,3,2,1,10,"LOS LAGOS","9","Chiloe",87,2022,7,87344,0.31614767
"1468",88,NA,NA,NA,3,1,7,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,9,7,3,99,99,8,6,5,5,4,4,5,1,3,4,4,3,4,4,3,4,3,4,2,4,88,4,4,3,3,4,2,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,88,NA,6,6,6,6,6,NA,NA,NA,NA,NA,8,8,1,1,1,3,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,10,5,11,1,2,NA,NA,2,2,2,2,2,2,8,2,8,8,3,3,5,88,NA,5,3,NA,NA,NA,2,11,12,4,4,4,3,2,1,1,1,NA,6,6,1,2,2,1,2,7,NA,2,1,1,2,1,NA,1,5,3,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,23,4,1,1,7,7,NA,NA,NA,NA,NA,3,55555,10,2,6,9,9,88,3,3,3,2,0,0,1,1,2,1,100,88,3,2,1,8,"BIOBÍO","2","Costa norte",87,2022,7,87245,0.88063375
"1469",88,NA,NA,NA,3,1,1,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,10,10,3,5,1,7,8,10,3,4,4,3,1,1,3,4,2,3,3,2,3,2,3,3,2,2,2,3,2,2,3,3,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,3,3,6,5,3,1,NA,NA,NA,NA,3,3,2,4,3,5,1,1,3,3,1,1,3,NA,NA,1,2,NA,1,2,3,2,14,1,2,NA,NA,1,1,1,2,1,1,2,1,3,1,3,3,7,1,2,6,3,NA,NA,NA,3,NA,NA,4,2,2,3,3,1,1,1,5,6,3,1,2,1,2,1,NA,1,2,2,1,3,NA,NA,4,5,4,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,23,4,1,2,6,1,NA,NA,NA,NA,2,3,NA,NA,2,5,1,9,2,2,2,3,2,2,1,2,1,2,1,100,1,3,2,2,10,"LOS LAGOS","9","Chiloe",87,2022,7,87601,0.07344302
"1470",88,NA,NA,NA,2,3,7,1,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,11,9,6,3,1,2,4,1,10,5,4,4,3,1,4,3,4,3,3,4,2,4,4,4,2,3,4,3,4,3,2,4,3,1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,99,3,5,6,5,3,7,NA,NA,NA,NA,1,1,1,1,5,5,1,3,5,1,3,1,3,NA,1,1,NA,1,1,2,9,1,26,88,NA,NA,NA,1,1,1,1,3,1,1,1,8,3,3,5,10,88,NA,1,3,NA,NA,NA,4,NA,NA,4,3,2,3,2,88,88,5,NA,6,6,6,2,2,2,2,NA,2,2,2,1,3,NA,NA,5,5,5,5,3,2,2,2,2,3,3,5,5,5,5,5,5,5,5,2,23,4,1,2,3,8,NA,NA,NA,NA,3,3,77777,10,2,2,1,8,4,3,2,2,3,0,1,2,1,2,1,100,1,3,2,2,10,"LOS LAGOS","9","Chiloe",87,2022,7,87594,0.08117252
